Loss: 0.31979572772979736, Precision: 0.875, Recall: 0.875, AUC: 0.944444477558136, Accuracy: 0.8823529481887817
Loss: 0.3554394543170929, Precision: 1.0, Recall: 0.875, AUC: 1.0, Accuracy: 0.9375
Loss: 0.140533447265625, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.5087886452674866, Precision: 0.7142857313156128, Recall: 0.9090909361839294, AUC: 0.8999999761581421, Accuracy: 0.807692289352417
Loss: 0.43655768036842346, Precision: 0.8571428656578064, Recall: 1.0, AUC: 0.8541666269302368, Accuracy: 0.8999999761581421
Loss: 0.14692485332489014, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.21178989112377167, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.4560149610042572, Precision: 0.8181818127632141, Recall: 0.8999999761581421, AUC: 0.949999988079071, Accuracy: 0.8333333134651184
Loss: 0.4808025062084198, Precision: 0.7586206793785095, Recall: 0.9166666865348816, AUC: 0.9282407760620117, Accuracy: 0.8235294222831726
Loss: 0.3963511288166046, Precision: 0.8571428656578064, Recall: 1.0, AUC: 0.9375000596046448, Accuracy: 0.9090909361839294
Loss: 0.15186594426631927, Precision: 1.0, Recall: 1.0, AUC: 1.0, Accuracy: 1.0
Loss: 0.8660230040550232, Precision: 0.625, Recall: 0.8333333134651184, AUC: 0.8106060028076172, Accuracy: 0.7647058963775635
Loss: 0.7911182641983032, Precision: 0.6666666865348816, Recall: 1.0, AUC: 0.7395833730697632, Accuracy: 0.7857142686843872
